Source Name	Characteristics[organism]	Characteristics[cell line]	Material Type	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[cell_line]
J132_EPA02P2_A204_Muscle_910784	Homo sapiens	A204	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA02P2_A204_Muscle_910784	P-MTAB-44937	J132_EPA02P2_A204_Muscle_910784:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513209_A02	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513209_A02.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	A204
J132_EPA02P3_EBC-1_Lung:NSCLC_753554	Homo sapiens	EBC-1	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA02P3_EBC-1_Lung:NSCLC_753554	P-MTAB-44937	J132_EPA02P3_EBC-1_Lung:NSCLC_753554:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813929_A02	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813929_A02.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	EBC-1
J132_EPA02P4_KURAMOCHI_Ovary_909975	Homo sapiens	KURAMOCHI	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA02P4_KURAMOCHI_Ovary_909975	P-MTAB-44937	J132_EPA02P4_KURAMOCHI_Ovary_909975:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513202_A02	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513202_A02.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	KURAMOCHI
J132_EPA02P5_MZ7-mel_Skin_753596	Homo sapiens	MZ7-mel	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA02P5_MZ7-mel_Skin_753596	P-MTAB-44937	J132_EPA02P5_MZ7-mel_Skin_753596:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513207_A02	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513207_A02.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	MZ7-mel
J132_EPA02P6_SF539_CNS_905984	Homo sapiens	SF539	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA02P6_SF539_CNS_905984	P-MTAB-44937	J132_EPA02P6_SF539_CNS_905984:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813928_A02	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813928_A02.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	SF539
J132_EPA02P7_REH_Blood_909696	Homo sapiens	REH	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA02P7_REH_Blood_909696	P-MTAB-44937	J132_EPA02P7_REH_Blood_909696:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513201_A02	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513201_A02.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	REH
J132_EPA02P8_NCI-H2347_Lung:NSCLC_687820	Homo sapiens	NCI-H2347	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA02P8_NCI-H2347_Lung:NSCLC_687820	P-MTAB-44937	J132_EPA02P8_NCI-H2347_Lung:NSCLC_687820:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813930_A02	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813930_A02.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	NCI-H2347
J132_EPA02P9_NB-TU-1-10_Kidney_1240181	Homo sapiens	NB-TU-1-10	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA02P9_NB-TU-1-10_Kidney_1240181	P-MTAB-44937	J132_EPA02P9_NB-TU-1-10_Kidney_1240181:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172948120113978_A02	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172948120113978_A02.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	NB-TU-1-10
J132_EPA03P10_SIG-M5_Blood_909715	Homo sapiens	SIG-M5	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA03P10_SIG-M5_Blood_909715	P-MTAB-44937	J132_EPA03P10_SIG-M5_Blood_909715:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994173212120213068_A03	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994173212120213068_A03.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	SIG-M5
J132_EPA03P1_CAL-51_Breast_910927	Homo sapiens	CAL-51	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA03P1_CAL-51_Breast_910927	P-MTAB-44937	J132_EPA03P1_CAL-51_Breast_910927:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994157493061613625_A03	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994157493061613625_A03.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	CAL-51
J132_EPA03P3_ASH-3_Thyroid_1290722	Homo sapiens	ASH-3	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA03P3_ASH-3_Thyroid_1290722	P-MTAB-44937	J132_EPA03P3_ASH-3_Thyroid_1290722:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813929_A03	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813929_A03.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	ASH-3
J132_EPA03P5_MDST8_Intestine_1240173	Homo sapiens	MDST8	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA03P5_MDST8_Intestine_1240173	P-MTAB-44937	J132_EPA03P5_MDST8_Intestine_1240173:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513207_A03	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513207_A03.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	MDST8
J132_EPA03P6_SUP-T1_Blood_909743	Homo sapiens	SUP-T1	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA03P6_SUP-T1_Blood_909743	P-MTAB-44937	J132_EPA03P6_SUP-T1_Blood_909743:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813928_A03	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813928_A03.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	SUP-T1
J132_EPA03P7_RH-41_Muscle_1240210	Homo sapiens	RH-41	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA03P7_RH-41_Muscle_1240210	P-MTAB-44937	J132_EPA03P7_RH-41_Muscle_1240210:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513201_A03	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513201_A03.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	RH-41
J132_EPA03P8_NCI-H2170_Lung:NSCLC_687815	Homo sapiens	NCI-H2170	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA03P8_NCI-H2170_Lung:NSCLC_687815	P-MTAB-44937	J132_EPA03P8_NCI-H2170_Lung:NSCLC_687815:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813930_A03	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813930_A03.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	NCI-H2170
J132_EPA03P9_NCI-H2141_lung_688014	Homo sapiens	NCI-H2141	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA03P9_NCI-H2141_lung_688014	P-MTAB-44937	J132_EPA03P9_NCI-H2141_lung_688014:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172948120113978_A03	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172948120113978_A03.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	NCI-H2141
J132_EPA04P10_ALL-SIL_Blood_1295740	Homo sapiens	ALL-SIL	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA04P10_ALL-SIL_Blood_1295740	P-MTAB-44937	J132_EPA04P10_ALL-SIL_Blood_1295740:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994173212120213068_A04	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994173212120213068_A04.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	ALL-SIL
J132_EPA04P1_H2869_Lung_1240138	Homo sapiens	H2869	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA04P1_H2869_Lung_1240138	P-MTAB-44937	J132_EPA04P1_H2869_Lung_1240138:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994157493061613625_A04	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994157493061613625_A04.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	H2869
J132_EPA04P2_BCPAP_Thyroid_924104	Homo sapiens	BCPAP	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA04P2_BCPAP_Thyroid_924104	P-MTAB-44937	J132_EPA04P2_BCPAP_Thyroid_924104:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513209_A04	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513209_A04.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	BCPAP
J132_EPA04P3_CaR-1_Intestine_924108	Homo sapiens	CaR-1	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA04P3_CaR-1_Intestine_924108	P-MTAB-44937	J132_EPA04P3_CaR-1_Intestine_924108:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813929_A04	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813929_A04.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	CaR-1
J132_EPA04P4_KINGS-1_CNS_907279	Homo sapiens	KINGS-1	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA04P4_KINGS-1_CNS_907279	P-MTAB-44937	J132_EPA04P4_KINGS-1_CNS_907279:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513202_A04	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513202_A04.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	KINGS-1
J132_EPA04P5_U-118-MG_Brain_687588	Homo sapiens	U-118-MG	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA04P5_U-118-MG_Brain_687588	P-MTAB-44937	J132_EPA04P5_U-118-MG_Brain_687588:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513207_A04	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513207_A04.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	U-118-MG
J132_EPA04P6_KP-4_Pancreas_753572	Homo sapiens	KP-4	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA04P6_KP-4_Pancreas_753572	P-MTAB-44937	J132_EPA04P6_KP-4_Pancreas_753572:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813928_A04	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813928_A04.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	KP-4
J132_EPA04P7_RPMI-8866_Blood_910544	Homo sapiens	RPMI-8866	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA04P7_RPMI-8866_Blood_910544	P-MTAB-44937	J132_EPA04P7_RPMI-8866_Blood_910544:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513201_A04	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513201_A04.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	RPMI-8866
J132_EPA04P8_NCI-H510A_Lung_753605	Homo sapiens	NCI-H510A	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA04P8_NCI-H510A_Lung_753605	P-MTAB-44937	J132_EPA04P8_NCI-H510A_Lung_753605:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813930_A04	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813930_A04.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	NCI-H510A
J132_EPA04P9_NCI-H250_lung_924241	Homo sapiens	NCI-H250	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA04P9_NCI-H250_lung_924241	P-MTAB-44937	J132_EPA04P9_NCI-H250_lung_924241:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172948120113978_A04	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172948120113978_A04.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	NCI-H250
J132_EPA05P10_KMS-12-BM_Blood_907281	Homo sapiens	KMS-12-BM	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA05P10_KMS-12-BM_Blood_907281	P-MTAB-44937	J132_EPA05P10_KMS-12-BM_Blood_907281:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994173212120213068_A05	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994173212120213068_A05.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	KMS-12-BM
J132_EPA05P1_H290_Lung_1240139	Homo sapiens	H290	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA05P1_H290_Lung_1240139	P-MTAB-44937	J132_EPA05P1_H290_Lung_1240139:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994157493061613625_A05	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994157493061613625_A05.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	H290
J132_EPA05P2_BT-20_Breast_906801	Homo sapiens	BT-20	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA05P2_BT-20_Breast_906801	P-MTAB-44937	J132_EPA05P2_BT-20_Breast_906801:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513209_A05	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513209_A05.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	BT-20
J132_EPA05P3_CP66-MEL_Skin_753546	Homo sapiens	CP66-MEL	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA05P3_CP66-MEL_Skin_753546	P-MTAB-44937	J132_EPA05P3_CP66-MEL_Skin_753546:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813929_A05	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813929_A05.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	CP66-MEL
J132_EPA05P4_LCLC-97TM1_Lung:NSCLC_946361	Homo sapiens	LCLC-97TM1	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA05P4_LCLC-97TM1_Lung:NSCLC_946361	P-MTAB-44937	J132_EPA05P4_LCLC-97TM1_Lung:NSCLC_946361:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513202_A05	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513202_A05.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.2.zip	LCLC-97TM1
J132_EPA05P5_WM1552C_Skin_1299078	Homo sapiens	WM1552C	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA05P5_WM1552C_Skin_1299078	P-MTAB-44937	J132_EPA05P5_WM1552C_Skin_1299078:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513207_A05	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513207_A05.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.2.zip	WM1552C
J132_EPA05P6_KM-H2_Blood_909976	Homo sapiens	KM-H2	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA05P6_KM-H2_Blood_909976	P-MTAB-44937	J132_EPA05P6_KM-H2_Blood_909976:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813928_A05	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813928_A05.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.2.zip	KM-H2
J132_EPA05P7_PANC-08-13_Pancreas_925347	Homo sapiens	PANC-08-13	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA05P7_PANC-08-13_Pancreas_925347	P-MTAB-44937	J132_EPA05P7_PANC-08-13_Pancreas_925347:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513201_A05	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513201_A05.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.2.zip	PANC-08-13
J132_EPA05P8_NCI-H810_Lung:NSCLC_925341	Homo sapiens	NCI-H810	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA05P8_NCI-H810_Lung:NSCLC_925341	P-MTAB-44937	J132_EPA05P8_NCI-H810_Lung:NSCLC_925341:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813930_A05	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813930_A05.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.2.zip	NCI-H810
J132_EPA05P9_CCF-STTG1_central_nervous_system_906823	Homo sapiens	CCF-STTG1	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA05P9_CCF-STTG1_central_nervous_system_906823	P-MTAB-44937	J132_EPA05P9_CCF-STTG1_central_nervous_system_906823:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172948120113978_A05	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172948120113978_A05.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.2.zip	CCF-STTG1
